code,CHECK,GUIDELINE,auth_note,c_REVIEW,c_HEUMLE,c_SW,c_WCAG,c_D4ALL,n. papers,important (For average elderly user),touchscreen specific,web specific,general,multimodal,supplementary device/tool,text,font,graphics (icons & images),screen design (appearance),color,customization,navigation,errors,feedback,special needs,data input,element-content,element-interaction,element-size,element-placing
11,Is textual information given in a clear and condensed manner?,"-Information should be categorized in a meaningful way
-One view, one message
-One paragraph, one topic
-Important text at the beginning/top
-If necessary to draw attention, highlight the most important part of a message (such as  an error message)
-Split larger text into smaller chunks over several view
-Keep any written text as short as possible
",,-,"- Is the amount of text minimized; is the only necessary information presented
- Does the options/information have logical sequence?","- Avoid irrelevant information on the screen
- Information should be concentrated mainly in the centre
- Important information should be highlighted","- Break up content with subheadings for new sections
- Mark headings with HTML header tags
- Use lists, tables and other formats where needed
- Use the correct HTML for all structural elements
- Use valid HTML everywhere
- Use clear labels and alternative text on forms
- Present all content in a meaningful order
- Separate navigation menus from the content
- Use paragraphs in order
- Nest headings from H1 downwards to show their relative importance
- Choose whether a list needs numbering or not","-Provide a font size of 12~14 points. It could be a problem when same text has to be written in different languages and resultant phrase has different length.
-lower bound at 6, otherwise 9~12 range and positive comments for 8,10,12
-16pt (public touchscreen kiosk)
-phrase lenght may vary depending on language used
-Information was displayed in sans serif and in at least two font sizes: 3.0~4.0 mm (the height of an upper case letter in the smaller text size) and 6.3~9.0 mm
-Ensure that the text size for printing is from 12 pt to 14 pt (Visual impairment)
-Provide larger font type: from 12 pt to 14 pt for body text and 16 pt for titles (visual impairment)
-14px or more for low vision users
-For Chinese text spacing when the font size is 1515 pixels (8 points), the recommended inter-line spacing is 6~8 pixels and the inter-character spacing is 2~4 pixels for higher text readability, lower visual fatigue, and higher user preference.
- ...keep written information and other visual distractions to a minimum.
-Universal and recognizable icons were used for text size, audio speed, and contrast; simple Y for Yes, N for No, and I for instructions (auth. note. this goes against other guidelines, such as avoiding abbreviations)
-Express only one idea per paragraph
-Provide short paragraphs
-Avoid lengthy lines of text (more than about 70 characters per line)",13,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y
12,"On touchscreen devices familiar and/or common gestures are used for actions 
(such as navigating between views)?","- Allow invoking most tasks with either tapping or buttons
- When some more common gestures can be used, such as swiping, pinching, ensure that the user is  always aware of them and buttons are available to do the same task
- Avoid the use of difficult movements
- Attempt to handle most functions via simply tapping
- Dragging is acceptable for elderly users on larger displays ( 42- and 23-inch touch panels)
- If more complex gestures are absolutely necessary, let the user complete them in middle of the screen if possible",,-,"-Does the launcher use tap gestures for most of the actions
-Do gestures of launcher work correctly and smoothly",-,-,"- using gestures such as swiping the screen horizontally or vertically, depending on the navigation structure. Swiping gestures are common forms of input for smaller touch screen systems such as mobile phone or tablets where the user can swipe their index finger from one side of the screen to another to change the page. Larger surfaces would require more physical effort for this task to be achieved. Familiar gestures such as using a finger or stylus in a crossing off motion (X) to delete an item or ticking () to save an item are particularly compatible for older users learning this input strategy 
-Avoid relying on gestures that may be novel. Better to give a virtual button than force the user to do ‘invisible’ actions.
-Consider touch interaction as manageable and preferred. Given that participants enjoy and even if certain actions, specifically panning, might be tiresome for participants, yet they prefer to use their hand to pan across the surface compared to having buttons to scroll through options.
- Use Tapping and Crossing as they have shown to be the interaction techniques with more resemblances between motor-impaired and able-bodied users.
-Use tapping gesture as it has shown to be one of the most accurate Interaction Techniques. Use 12 mm for target size while implementing for both user populations
-Tapping and Crossing have shown to be the more effective interaction techniques
- Use Tapping for the medium size (12 mm).
- Use the swipe operation (used to move between pictures in the Photos app) because it seemed easy for everyone to perform and does not require fine positioning
- Avoid difficult movements e.g., dragging
- Employ controls that use multiple-taps
- Avoid difficult movements e.g., dragging
- Keep gestures simple to perform basic commands of the system; 
- Avoid creating multiple gestures that combine more than two fingers and require the use of both hands;
- Prefer multiple-tap over drag
- Use drag gesture with parsimony
- The elderly prefers tabbing but not drag and drop actions
-Use the drag operation for the best elderly’s performance on the 42- and 23-in. touch panels, but not for the 4.3-in. touch panel.
-In the middle of the screen neither of the interaction techniques – Tapping, Crossing, or Directional Gesturing – was revealed as significantly more accurate
- Use the swipe gesture, preferably without activation speed",20,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n
13,No bad color combinations or too many colors are used?,"-Do not use colors that colorblind people commonly struggle with
-Do not use poor color combinations such as mixes of soft tones, blue and green, combination of fully saturated colors",,-,-,Blue green tones should be avoided,-,"- Avoid the green and blue colors
- Avoid combinations of green and red or yellow and blue 
-Avoid using tones of similar lightness near to each other;
- Use different colors to categorize information visually
- Use soft colors
- Too much colour can be distracting and can make it difficult to see text properly
- Avoid utilising too much color
-Condition: the user is colour-blind. Action: change the foreground colour to black and background colour to white
- It is also recommended that colour is used to group items together and provide activity feedback but that it should be used sparingly and with colour blind users in mind.",13,y,n,n,y,n,n,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n
14,Core functions are directly & easily accessible? ,"-Rule of thumb: the core functions for current view are always directly accessible
-Core functions should be close to the center of the view, if aesthetically possible, or towards the top
-Each view should be clearly titled 
-Core functions should be labeled
-They should be easy to spot when scanning a view
-Their purpose should be clear: what, how & why?",,-,"- Does the launcher support or provide shortcuts for direct access to the most frequent functions or items?
- Are important functions always available?",-,-,"- Grouping items and functionalities by proximity would help users who have no past experience in finding every function and at the same time give users only the essential information needed for each context
-Determine what are the most frequent acts that the user wants to do and make them easy. Less frequently used ones can require more effort
-where possible all menu items should be displayed on the one page. Waloszek (2000) advises that different menu groups (e.g. main menu and secondary menu) should be differentiated by their shape and style
- Are the important functions placed at the top of screen to avoid mistake touches?
- Maintain the focus of the system on the current user action without displaying secondary functions;
-critical functions should never disappear, and important functions should be placed at the top of the screen to avoid mistake touches
- The most important features should be available directly via a labeled button and not via menu navigation
- give clear evidence to active areas so that users can locate them more easily
- Simple display designs are key. Simplified displays facilitate usability for older users whose reduced attention skills hinder their ability to focus when there is unnecessary or extraneous information present.
-where possible all menu items should be displayed on the one page. Waloszek (2000) advises that different menu groups (e.g. main menu and secondary menu) should be differentiated by their shape and style
-Different participants (A8, A19, B2) stated that navigation is particularly difficult for them when the menu structure has too many subcategories. Two layers are found comfortable, more are difficult to handle
- Display main information on the center of the screen
- Do not use wide space between related information: When related information is shown on the screen, this information should be shown closer on the page in order to make this relationship visual too.
- Increase the exposure time of temporary posts and position them in the middle of the interface",19,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y
15,Are functions & information structured logically?,"-Menu content should be grouped logically, for example settings holds all customization functionality
-Three tier menu is acceptable, such as: ""setting"" to ""customization"" to ""color"". However, two is better, as long as the second tier is not overwhelming 
-Single view should focus only on a single task",,-,Does the launcher group similar functions in one place?,Do not have a deep hierarchy and group information into meaningful categories,"-Add a heading for every new thought or topic in your content (for example, a travel article may have headings to indicate the distinct sections on dining, transportation, and lodging).","-Group commonly used menu items together
-Avoid one page does it all approach
-Categorise content semantically into short categories
-The user interface should be the simplest possible: grouping items and functionalities by proximity would help users who have no past experience in finding every function 
-Give each page and frame a title
-Allow tasks to be accomplished serially, don't force them to be done at the same time requiring cognitive switching.
-Provide shallow menus. Spread functionality across menu bar and pages.
-Avoid deep hierarchy
-Task should be done serially. Do not clutter them into one space                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",13,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y
16,Is overall design consistent?,"-Ensure screen design (e.g., button placement, color use, element placement, appearance,...) remains consistent throughout the system 
-Icon & images and general look and feel should not abruptly change between views.",,-,"- Does the launcher apply consistent format?
- Are items placed in a recognizable positions?","-Screen layout, navigation and terminology used should be simple, clear and consistent
-Reduce the demand on working memory by supporting recognition rather than recall and provide fewer choices to the user",Logical order,"-Make the device consistent with familiar layouts
-Keep the same positioning of the elements in the interface and in their respective operations;
-Do not use wide space between related information: When related information is shown on the screen, this information should be shown closer on the page in order to make this relationship visual too.
-Be consistent with details of interface. Using different designs between screens can cause frustration and confusion.
-Design appealing to all. Familiar design features were used, institutional appearance was avoided
-Ensure that navigation is consistent throughout the website or application e.g., similar fonts, colors and sizes, the use of the same set of buttons menu in the same place on each screen, the use the same symbols and icons throughout the website/ application, consistent hyperlinks",14,y,n,n,y,n,n,n,n,n,y,y,n,n,n,n,n,n,y,n,n,y
17,User can customize elements or their content size easily?,"- Web browsers have a built in zoom. Using the zoom should not break elements shown
- Users might want to enlarge only a single element (image, text, etc)
- Ensure that enlarging a view does not break the view 
- Provide font size customization in the system settings
- Provide contrast customization from the settings
- For desktop browsers, provide an easy way/clear instructions on how to acquire the appropriate browser extensions or access settings",,-,Is there any option to enlarge the font size,-,"-Provide a tool that enables users to select from several background and foreground colours; and
-Ensure text blocks are no wider than 80 characters (plus make sure resized browser windows do not need horizontal scrolling); and
-Ensure text is not justified to both sides of the webpage
-Line spacing is at least space-and-a-half within paragraphs and paragraph spacing is at least 1.5 times larger than line spacing
-Ensure text can be resized in a browser up to 200% without requiring the user to scroll horizontally
","-For web interfaces, the solution could be an assistant functionality that makes it possible for uses to adjust the font size themselves
-Give the option to increase and decrease size, so that users with visual impairments can also interact with the tool
-Support the ability to adjust fonts and size of elements are some of the requirements that the application should have.
-Ensure the user can easily make interface elements larger
-Automatic increasing of text size for specific users if text smaller than 14px
-Change the color and increase the size of the header and content, or give the option to increase and decrease size
-Allow users adjust font type, color scheme (background color, text color, and printing colors), and text size at their will
-Make it facile for the user to adjust contrast without needing to utilize browser controls
-Support different types of contrast",14,y,y,n,y,n,n,y,y,y,y,n,y,n,n,n,n,n,n,n,y,n
19,"User confirmation on all major steps (submit, delete, login/out, etc) is required?","- Always ask confirmation from the user for any major step
- Make sure that an accidential button press cannot directly close the system, or if this is not possible, such as some touch screen devices, the system should save its current state and offer to return to this when being re-activated
- Enhancing confirmation messages with appropriate color and other supplementary images might make the feedback more easy to understand",,"on hyva varikoodata vaihtoehdot siten, etta esimerkiksi punaisella yes-nappi ja viela varoittava teksti, esim: ""Yes (I understand the consequences)""",Is there confirmation message for critical actions such as deletion?,-,-,"On iOS, use Guided Access to lock the device into one application for people who accidentally activate controls and may switch applications unintentionally.",11,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,n
20, Scrolling for information is avoided?,Generally scrolling of content is something elderly users have disliked in the past.,"With scrolling being rather common in many popular applictions, the importance of this is likely going to wane as time progresses, but  this of course can only be confirmed with future evaluations.",-,-,-,"- Vertical content doesn’t require a horizontal scroll at a width of 320 CSS pixels
- Horizontal content doesn’t require a vertical scroll at a height of 256 CCC pixels","-Avoid scrolling and requiring double click
-Features such as double tapping and scroll bars should be avoided for touch screen use
-Asking the elder to perform acts like ‘scroll down’ to expose the status/notification screen may be incomprehensible and lead to frustration and abandonment.
-For shorter scrolling tasks (if using scrolling), horizontal scrolling was faster; however, for longer scrolling tasks, vertical scrolling yielded better performance. 
-Avoid using scroll",9,n,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,n,y
21,No overly decorative fonts are used?,"Sans serif fonts are recommended, such as: Helvetica, Arial, Verdana, Tahoma, or Times New Roman
",,-,-,"san serif type font Helvetica, Arial",-,"-Plain font should be chosen. 
-In general, sans serif fonts provide a good readability
-Information was displayed in sans serif
-Sans~serif fonts are suggested
-Avoid decorative fonts type
-Use serif or sans serif  font type (Helvetia, Arial, Times New Roman…). Avoid decorative fonts. Recommended: Helvetia, Arial, Times New Roman…
-Utilize a sans~serif font type e.g., Arial, Helvetica, Verdana and Tahoma
-Avoid the use of the shadow effect",9,y,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n
22,Text formatting & presentation is clear?,"-Use left aligned for text
-Preferablly only use underline for links
-Avoid using capitals letters outside their normal use in sentences.
-Use white space to clearly separate elements and text
-It is recommended to limit the number of fonts used per view to two",,-,-,-,,"-Terms and/or icons that users will recognise
-Legible displays are better than fancy displays. Size, style, and color of fonts and displays make an enormous difference in the readability of the interface design.
-Use white space
-Use lower cases to write the main body
-Use left alignment
-Avoid justified aligned text
-Centre justify important text to highlight it.
-Underline only links
-Limit the number of the fonts utilized",11,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n
23,"For vocal feedback, human voice is used?","-For vocal feedback use normal human voice
-Allow user to choose the voice type/gender","Some studies recommended male voices over others, but this is likely an outdated notion. Especially in the age of Siri & Alexa that by default use a female voice",-,-,-,-,"-Let the user to know what he/she can do. Provide audio instructions of a human voice describing the options set to the user.
-Use female/child voice only to draw attention.
-Use automatic inputs as possible
-Use male voices
-Use natural speech than synthetic speech
-Use active voice rather than passive voice
-Use a natural voice in audio output, to promote understanding and motivation.",9,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n
24,"On touchscreen devices, magnifying a view is easy?","-Avoid requiring two hands to magnify the view, except with large displays (42~and 23~inch). 
-Depending on the device's OS, it may be easier to offer zooming via buttons on the screen. ","Generally most current devices offer this zooming inherently, but depending on the use case it is good to keep this in mind",-,-,-,-,"-Do not use two hands for the enlargement operation for odler adults for touch panel sizes, which are not  42~ and 23~in., and magnification cases.
-For the one hand enlargement operation of the scale task the elderly’s performance was significantly the worst for most of the touch panel sizes, except for the two times enlargement operation using one hand on the 23~in. and 42~in. touch panels, for the four times enlargement operation using one hand on the 23~in. and 42~in. touch panels, and for the eight times enlargement operation using one hand on the 23~in. touch panel.
-While increasing target size is the most straightforward solution for reducing error rates, it is not always practical for small screen devices. An alternate approach might be using a zooming interface [1 (rather than sticky interface that are used in accessible pen based interfaces).
-For the elderly, use two times magnification for enlargement operations using one hand or both hands on a 23-in. touch panel. For the enlargement operation using one hand on a 42~in. touch panel, also use two times magnification.
-According to the comparison of the performances on the two times, four times, and eight times magnifications, consider that  magnification has a significant effect on the elderly’s enlargement operation using one hand or two hands on a 23~in. touch panel and on the enlargement operation using two hands on a 42~in. touch panel.
-Consider that the size factor has a significant effect on the elderly’s performance on the four times enlargement operation using one or two hands. The elderly’s performance on the four times enlargement operation using one hand and two hand was best on the 23~in. and 42~in. touch panel. Based on the test results, use 23~in. and 42~in. touch panels for the elderly for the four times enlargement operation using one hand or two hands, but not 10.1~in. and 4.3~in. touch panels for the elderly for the four times enlargement operation using one hand or two hands.",9,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
